val	PWM	Voltage	Real
1	123864	7.477686405	153
2	116184	7.517356396	153
3	122288	7.477686405	153
4	121112	7.517356396	153
5	120696	7.4975214	153
6	121012	7.4975214	153
7	124912	7.4975214	153
8	121908	7.457852364	153
9	123304	7.457852364	153
10	124504	7.477686405	153
11	124924	7.457852364	153
12	121984	7.457852364	153
13	121056	7.457852364	153
14	123684	7.477686405	153
15	125536	7.457852364	153
16	122404	7.477686405	153
17	122456	7.457852364	153
18	122688	7.457852364	153
19	121876	7.457852364	153
20	124340	7.438017368	153
21	122872	7.438017368	153
22	124620	7.418182373	153
23	121844	7.418182373	153
24	125288	7.438017368	153
25	125886	7.438017368	153
26	124676	7.457852364	153
27	125184	7.418182373	153
28	124204	7.457852364	153
29	121000	7.438017368	153
30	123208	7.418182373	153
31	122020	7.438017368	153
32	123728	7.438017368	153
33	120128	7.438017368	153
34	124084	7.418182373	153
35	122348	7.398348331	153
36	122204	7.418182373	153
37	124552	7.418182373	153
38	123292	7.398348331	153
39	124112	7.398348331	153
40	122488	7.418182373	153
41	128936	7.398348331	153
42	142868	7.259504318	187
43	140192	7.319009304	187
44	141448	7.299174786	187
45	140840	7.299174786	187
46	140332	7.279339314	187
47	140620	7.279339314	187
48	140688	7.279339314	187
49	140952	7.299174786	187
50	143248	7.259504318	187
51	140624	7.279339314	187
52	143920	7.259504318	187
53	142952	7.279339314	187
54	142636	7.259504318	187
55	143164	7.259504318	187
56	141932	7.259504318	187
57	142028	7.259504318	187
58	143396	7.239670277	187
59	157296	7.140496254	221
60	158420	7.140496254	221
61	158308	7.160331249	221
62	157600	7.140496254	221
63	158440	7.120661736	221
64	159720	7.140496254	221
65	157856	7.140496254	221
66	158224	7.140496254	221
67	159048	7.160331249	221
68	160140	7.120661736	221
69	158052	7.120661736	221
70	175488	7.021488667	255
71	174068	7.021488667	255
72	174336	7.041322708	255
73	178028	7.001653671	255
74	175100	7.001653671	255
75	175360	7.001653671	255
76	175148	7.021488667	255
77	177112	6.981818676	255
78	121244	7.418182373	153
79	119704	7.457852364	153
80	120328	7.438017368	153
81	126884	7.398348331	153
82	124660	7.418182373	153
83	125924	7.398348331	153
84	124020	7.398348331	153
85	123380	7.378513336	153
86	124748	7.398348331	153
87	125840	7.418182373	153
88	124844	7.418182373	153
89	125120	7.398348331	153
90	123304	7.398348331	153
91	127152	7.378513336	153
92	125012	7.378513336	153
93	125004	7.398348331	153
94	123000	7.378513336	153
95	123208	7.358678818	153
96	125220	7.378513336	153
97	127032	7.338843822	153
98	124644	7.358678818	153
99	120728	7.338843822	153
100	128988	7.378513336	153
101	123964	7.338843822	153
102	123168	7.378513336	153
103	124892	7.338843822	153
104	126052	7.338843822	153
105	123768	7.338843822	153
106	122476	7.378513336	153
107	121720	7.358678818	153
108	122460	7.358678818	153
109	126112	7.338843822	153
110	125128	7.338843822	153
111	124920	7.338843822	153
112	125736	7.319009304	153
113	126524	7.319009304	153
114	125132	7.319009304	153
115	125460	7.319009304	153
116	125148	7.319009304	153
117	125096	7.319009304	153
118	125724	7.319009304	153
119	124640	7.319009304	153
120	125692	7.319009304	153
121	124956	7.319009304	153
122	125136	7.319009304	153
123	125756	7.299174786	153
124	125576	7.319009304	153
125	126024	7.299174786	153
126	124660	7.319009304	153
127	127672	7.299174786	153
128	125696	7.299174786	153
129	124168	7.319009304	153
130	128640	7.279339314	153
131	127260	7.279339314	153
132	125336	7.279339314	153
133	126372	7.299174786	153
134	128596	7.279339314	153
135	126472	7.279339314	153
136	126584	7.279339314	153
137	127088	7.259504318	153
138	127736	7.279339314	153
139	125576	7.279339314	153
140	126464	7.299174786	153
141	128020	7.279339314	153
142	126912	7.299174786	153
143	128136	7.259504318	153
144	125652	7.279339314	153
145	128148	7.259504318	153
146	126928	7.259504318	153
147	127024	7.279339314	153
148	129832	7.239670277	153
149	128028	7.259504318	153
150	127860	7.259504318	153
151	128076	7.279339314	153
152	127016	7.259504318	153
