model,train_size,next_state_rmse_mean,acc_rmse_mean
GP_DX,300,0.02679757960140705,4.361008167266846
GP_DX,800,0.015796009451150894,3.4521026611328125
GP_DX,1500,0.012721738778054714,3.5419559478759766
GP_DX,3000,0.011826273053884506,3.9794514179229736
GP_ACCEL,300,0.013141420669853687,2.60650634765625
GP_ACCEL,800,0.012534870766103268,2.485196828842163
GP_ACCEL,1500,0.012052127160131931,2.388648509979248
GP_ACCEL,3000,0.01171784196048975,2.321791410446167
GP_RES_ACCEL,300,0.013373126275837421,2.652848243713379
GP_RES_ACCEL,800,0.012587904930114746,2.4958035945892334
GP_RES_ACCEL,1500,0.012019033543765545,2.3820292949676514
GP_RES_ACCEL,3000,0.011722277849912643,2.322678327560425
